model,fold,metrics_path,epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,val_loss,epoch_seconds
U-Net baseline,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold0_aug-full_base32_crop320/best_metrics.json,104,1.0037391118027947,0.6865740259833724,0.9478995733556017,0.9009592139211103,0.970853947673997,0.926005571120411,0.8516001898995373,0.7415537536748973,0.8164176230226163,0.8899516187017134,0.5544198660903362,0.38352759081634047,0.44388082837487236,0.7382703169045505,0.6950829626705829,0.5326644857768946,0.6340646040419587,0.7690958749483228,0.7552105278838095,0.6066973932547182,0.7087162650626186,0.8082334667923455,0.7140783866360665,0.5661108058807126,0.6507698301255165,0.8013878193367331,0.6682377855482429,0.9637448381293904,4.456423044204712
U-Net baseline,1,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold1_aug-full_base32_crop320/best_metrics.json,112,1.0030306767333637,0.7097779266321678,0.9467080142981897,0.8988087132053861,0.9550174714239157,0.938541908459919,0.8387165899786309,0.7222324737793313,0.8401658381863055,0.8372723329371072,0.5839017787718395,0.4123314117755407,0.5393728297148421,0.6364446788207256,0.7233739629068413,0.5666294920272372,0.6476085125639348,0.8192162624585513,0.7790784837690014,0.6381069326831321,0.7295228539756479,0.835857286553247,0.7312677038565782,0.5848250775663104,0.6891675086101825,0.7821976401924078,0.6954514084825608,1.0069715204564007,3.4685847759246826
U-Net baseline,2,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold2_aug-full_base32_crop320/best_metrics.json,118,1.00606558336453,0.7115741891217727,0.9495635475052937,0.9039704831740684,0.9760826740399596,0.9244472991058119,0.8494737237394612,0.7383349179129015,0.7966269262561925,0.9098302244164506,0.605593214937685,0.4343016840029372,0.5150618737125576,0.7347362607014231,0.7334747629970179,0.5791236854724363,0.6658503373448696,0.8163879377835374,0.7496880778913857,0.5996008393066098,0.6904187869336481,0.8200889592980245,0.7345574448913874,0.5878402816737212,0.666989481061817,0.8202608455498588,0.6962520186086962,0.9182808128270236,4.167156934738159
U-Net baseline,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold3_aug-full_base32_crop320/best_metrics.json,104,1.0041489276019009,0.7036399412784968,0.9518141483541751,0.9080585726850537,0.9736763419214904,0.9309121496774365,0.8535056142594569,0.7444481411116209,0.8073984739256829,0.9051976556579169,0.5571099997889698,0.38610704884467256,0.4715400689396229,0.6806217937149786,0.7202845277512641,0.5628474011379803,0.675199989478542,0.7718206316453836,0.7835700719682694,0.6441555357291654,0.7244982673981835,0.8531298216084204,0.7286175534419901,0.5843895317058598,0.6696591999355077,0.8026924756566749,0.6869881998361679,0.9135696725411848,3.895808696746826
U-Net baseline,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold4_aug-full_base32_crop320/best_metrics.json,101,0.9810003807598894,0.6803531229020209,0.9490269720241997,0.9029984088669232,0.9582499263075062,0.9399798632605314,0.8387803382535847,0.7223270203607315,0.8367733769310787,0.8407969499253931,0.5414966803857199,0.37126873357334944,0.49448312566180574,0.598389227878402,0.7084661224133318,0.5485462942227702,0.600371807381565,0.8640311470499862,0.7382874941231564,0.5851471636243107,0.7479133178543341,0.7289062953292295,0.7067576587939481,0.5568223029452904,0.6698854069571959,0.7580309050457527,0.6627500989740693,0.9742373891852119,4.2693281173706055
