run,delta_mean_dice_vs_resunet,delta_minority_dice_vs_resunet,delta_mean_iou_vs_resunet,delta_precision_vs_resunet,delta_recall_vs_resunet,delta_dice_c1_vs_resunet,delta_dice_c2_vs_resunet,delta_dice_c3_vs_resunet,delta_dice_c4_vs_resunet,delta_iou_c4_vs_resunet,delta_kappa_vs_resunet,delta_ordinal_mae_vs_resunet,decision_score
C4-protective proposed,-0.0002599476312220572,-0.0005137918454156676,0.0012862495832400844,-0.0003688945306007385,0.0110587064765173,0.0005015850113585518,-0.013169275419213533,-0.009738128039384342,0.021366027922351094,0.028431583197154442,-0.001494402974841047,0.003098987105436775,0.008029299042330264
Original proposed,-0.004746724612819886,-0.007310275745691208,-0.007429977765074702,0.005813941971029801,-0.018132437657056855,0.002943928785793748,0.019912389390874585,-0.009815600755638587,-0.03202761587230929,-0.04192958415621717,-0.0018038807865743411,0.0023550919581728155,-0.03518001150811047
