fold,unet_mean_dice_no_bg,resunetds_mean_dice_no_bg,delta_mean_dice_no_bg,unet_minority_dice_c2_c3_c4,resunetds_minority_dice_c2_c3_c4,delta_minority_dice_c2_c3_c4,unet_mean_iou_no_bg,resunetds_mean_iou_no_bg,delta_mean_iou_no_bg,unet_dice_c1,resunetds_dice_c1,delta_dice_c1,unet_dice_c2,resunetds_dice_c2,delta_dice_c2,unet_dice_c3,resunetds_dice_c3,delta_dice_c3,unet_dice_c4,resunetds_dice_c4,delta_dice_c4,unet_iou_c1,resunetds_iou_c1,delta_iou_c1,unet_iou_c2,resunetds_iou_c2,delta_iou_c2,unet_iou_c3,resunetds_iou_c3,delta_iou_c3,unet_iou_c4,resunetds_iou_c4,delta_iou_c4
0,0.7140783866360665,0.7366171817456266,0.02253879510956014,0.6682377855482429,0.6987311820613359,0.03049339651309302,0.5661108058807126,0.5897624652828315,0.023651659402118885,0.8516001898995373,0.8502751807984985,-0.001325009101038832,0.5544198660903362,0.6238069297639123,0.06938706367357605,0.6950829626705829,0.7118191334836599,0.01673617081307699,0.7552105278838095,0.760567482936436,0.005356955052626455,0.7415537536748973,0.7395466868228744,-0.0020070668520228985,0.38352759081634047,0.45328445786818083,0.06975686705184037,0.5326644857768946,0.5525770114942402,0.019912525717345586,0.6066973932547182,0.6136417049460309,0.00694431169131271
1,0.7312677038565782,0.7463260278359974,0.015058323979419197,0.6954514084825608,0.7115978662649045,0.016146457782343693,0.5848250775663104,0.6033068879222163,0.018481810355905903,0.8387165899786309,0.8505105125492763,0.011793922570645488,0.5839017787718395,0.6038597657683759,0.019957986996536392,0.7233739629068413,0.7471619490896875,0.023787986182846166,0.7790784837690014,0.7837718839366503,0.0046934001676489645,0.7222324737793313,0.739902819325032,0.017670345545700683,0.4123314117755407,0.43252085353783565,0.020189441762294924,0.5666294920272372,0.5963755239927454,0.02974603196550818,0.6381069326831321,0.6444283548332522,0.006321422150120104
2,0.7345574448913874,0.7424401957669257,0.007882750875538247,0.6962520186086962,0.7047778481951309,0.008525829586434663,0.5878402816737212,0.598412994078894,0.01057271240517288,0.8494737237394612,0.8554272384823101,0.005953514742848887,0.605593214937685,0.6027970411465418,-0.002796173791143275,0.7334747629970179,0.7578069447316649,0.024332181734647018,0.7496880778913857,0.7537295587071858,0.004041480815800136,0.7383349179129015,0.7473768966404755,0.009041978727573952,0.4343016840029372,0.43143126582067626,-0.00287041818226097,0.5791236854724363,0.6100556926459113,0.030932007173474996,0.5996008393066098,0.6047881212085132,0.005187281901903429
3,0.7286175534419901,0.7327728814092218,0.004155327967231726,0.6869881998361679,0.6926030112964224,0.005614811460254554,0.5843895317058598,0.5898350296786015,0.005445497972741631,0.8535056142594569,0.8532824917476204,-0.00022312251183653764,0.5571099997889698,0.557114989555801,4.989766831164921e-06,0.7202845277512641,0.7264801542440772,0.006195626492813133,0.7835700719682694,0.7942138900893888,0.010643818121119364,0.7444481411116209,0.7441087151865677,-0.000339425925053205,0.38610704884467256,0.38611184226266965,4.793417997084326e-06,0.5628474011379803,0.5704505953834278,0.007603194245447531,0.6441555357291654,0.6586689658817404,0.014513430152575002
4,0.7067576587939481,0.7249880248442069,0.01823036605025874,0.6627500989740693,0.6821103105851926,0.019360211611123224,0.5568223029452904,0.578769019294731,0.021946716349440565,0.8387803382535847,0.8536211676212498,0.014840829367665176,0.5414966803857199,0.5640287688904594,0.022532088504739534,0.7084661224133318,0.732203711914855,0.02373758950152316,0.7382874941231564,0.7500984509502631,0.011810956827106645,0.7223270203607315,0.744623979012222,0.022296958651490506,0.37126873357334944,0.3927855632975654,0.02151682972421598,0.5485462942227702,0.5775405077268063,0.02899421350403608,0.5851471636243107,0.6001260271423303,0.01497886351801958
