,Background,C1,C2,C3,C4
Background,8219188,417915,83111,100795,23784
C1,191903,1788498,45824,59,38
C2,33699,5347,128724,13266,14
C3,12550,2,14912,274521,16066
C4,2174,0,0,42245,119701
