,Background,C1,C2,C3,C4
Background,8273381,355688,62182,70851,45959
C1,248464,1838925,21051,72,54
C2,20985,10534,75612,9238,4
C3,13598,0,8418,214572,29479
C4,5002,0,64,33705,196498
