,Background,C1,C2,C3,C4
Background,8429196,275352,69766,69948,23112
C1,337335,1689273,16686,197,0
C2,48216,10382,88758,3255,0
C3,17903,1,32646,230358,19602
C4,6651,169,82,27898,137550
