,Background,C1,C2,C3,C4
Background,8284330,419082,59301,70800,33861
C1,226690,1795303,21287,211,0
C2,33295,12243,100682,4352,39
C3,28237,346,22684,225345,23898
C4,7867,150,0,25084,139249
