epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,1.8403136676008052,0.46598887229296015,0.9228856990542734,0.8568131518112447,0.9278586271476811,0.917965792352955,0.7488390528479866,0.5985153665102402,0.7362959550607466,0.7618169103754273,0.24039244512326102,0.1366170794487755,0.17979003920716,0.3626229159888479,0.44026307713598856,0.2822675226073197,0.5541451444324667,0.3652091444544153,0.6230277011012888,0.452462044152653,0.6808610169024661,0.5742500725268016,0.5131305690521313,0.3674655031797471,0.5377730389007098,0.5159747608363731,0.43456107445351283,0.11260433474035902,0.09992635483988323,0.005269217797940885,0.8948044273621759,0.9222749136903258,1.3430209390141747,6.156028509140015
2,1.4127073667266152,0.40533915636287743,0.9383051545975252,0.8837804559951743,0.9389402179712746,0.9376709497084471,0.7956573563185703,0.6606569654350261,0.8185419098955833,0.7740176002732541,0.4344206066312316,0.27748232282008894,0.440106562012384,0.4288796967020716,0.19125284146261762,0.1057377425915469,0.4360480957175341,0.12248843632491023,0.46023795434288545,0.2989019995920685,0.3070665406874602,0.9183115752828013,0.4703921896888262,0.3356947576096826,0.5004407770782404,0.5609243271457593,0.36197046747891154,0.13996164145958104,0.12983773340344099,0.004145318480294452,0.8660169481162646,0.932412523860714,1.3246195194396106,6.234471321105957
3,1.2642421607266774,0.4069408871513308,0.9317167050954167,0.8721625710515634,0.9573277952297615,0.9074402410454314,0.8047294430616666,0.6732613284836267,0.7680272169349784,0.8451155400243953,0.2875493476280324,0.16791686652677498,0.18005267284533583,0.7135733777744843,0.3416643663354124,0.2060284778301501,0.4029635457644717,0.29655252737012755,0.45901276218710235,0.29786928205750296,0.8633464730953974,0.31260806498402594,0.4732389798030534,0.3362689887245137,0.5535974771600458,0.5419623775382583,0.36274215871684906,0.14697806601423566,0.13985937642150684,0.0034662022536163135,0.8566744213248768,0.8925844777170622,1.297530403191393,6.324050426483154
4,1.2126026851209728,0.4526745757841959,0.9411266855621202,0.888800079036587,0.9500536870550296,0.9323658841952523,0.8176562652090554,0.6915554598457181,0.8278058844887691,0.8077525176279181,0.39630058948010255,0.24711650255681475,0.28744281512641895,0.6378684159855098,0.5265920311339228,0.3573973008569947,0.43527468347551085,0.6663971248876688,0.31347054359694265,0.1858672212375682,0.7739569528856249,0.19653611836378318,0.5135048573550058,0.370484121124274,0.5811200839940809,0.5771385442162199,0.41212105473698935,0.11526509475589243,0.11070525441077984,0.001948201754680679,0.8873465438345395,0.9244823612392447,1.1868512210520832,6.0617921352386475
5,1.1840001039884307,0.5921959129836751,0.9349479894970778,0.8778425656936617,0.970409059479739,0.9019872174107003,0.822925637287482,0.6991279934014406,0.7597227077455249,0.8975987660332201,0.4682149778064729,0.305666246256923,0.42278528428091383,0.5245831977743641,0.6063400214836151,0.43507026881054006,0.5733647700816888,0.6433396559182508,0.6251228315596685,0.4546754036717415,0.4648323661515456,0.9541456338844818,0.6306508670343096,0.4736349780351613,0.5551762820649183,0.7549168134025792,0.5665592769499188,0.06367874790193759,0.06196356769039594,0.0007870184464412693,0.9372494138631627,0.966061392158452,1.0786284425041892,6.1805419921875
6,1.1686232015490532,0.5202851062577922,0.9432340174978054,0.8925665976344452,0.9173049400650533,0.9706715877778461,0.7781819290769897,0.6369049104742082,0.8976258043554258,0.6867928461637429,0.37054982003145154,0.22740788554738378,0.5281908226214113,0.2853775620638409,0.6413593794137372,0.4720596231967407,0.5417942022733719,0.785757545505947,0.46298051172178883,0.30121967564668,0.798536100056737,0.3259936176385073,0.5632679100609919,0.40939802371625317,0.6915367323267365,0.5209803928430096,0.4916299037223259,0.08227865170678361,0.07901902313733433,0.0015007829137081553,0.9194801939489575,0.9530209983095392,1.2266837412660772,6.413399934768677
7,1.1540724452246318,0.6561234854967928,0.9441260796831412,0.8941655452573517,0.9621331156055568,0.9267806906531733,0.8305020284273081,0.7101355013985052,0.7977137736976669,0.8661011964329627,0.49768662987122186,0.33128017081320404,0.5240161527165548,0.473876410089537,0.691398059234522,0.5283486426973223,0.6110630036910581,0.7960533759275632,0.7211595864077961,0.5639167942637127,0.6127749370992365,0.8761241659413475,0.685186575985212,0.533420277293186,0.6363919668011291,0.7530387870978525,0.6367480918378466,0.04855089779477026,0.04726010445825084,0.0005555745203796,0.9521843210213695,0.9732847608293174,1.0222254734147678,6.329832315444946
8,1.116158351302147,0.6601647648374801,0.9415085016428794,0.8894814016968395,0.9268580391910046,0.9566295500787484,0.7773768232536782,0.6358269972621119,0.8609727991551787,0.70857762525012,0.4887354430153132,0.3233950275327375,0.5299082967399158,0.4534994123934869,0.7109607475768036,0.5515431327946813,0.6300407630346452,0.8157299257927917,0.7417274177815908,0.5894807120996639,0.7213394306267973,0.7633014215259203,0.6797001079068464,0.5250614674222986,0.6855653223891341,0.6852770962405798,0.6471412027912359,0.05336331669964036,0.051524566068868294,0.0008335202287600023,0.9476419137023717,0.9721674711532103,1.0885840559547597,6.291959285736084
9,1.1054983592846177,0.5019328968213168,0.9386186169441358,0.8843368010108891,0.9764606826605533,0.903600209035955,0.8261876479448138,0.7038498500192739,0.752589592083945,0.9157407593182406,0.5000993499673435,0.3334216502649393,0.4090153139615205,0.6433726620233154,0.6026109780542228,0.43124066998545946,0.4601443745669121,0.8728594722305123,0.2950034454012184,0.17302289826071723,0.8702698092284223,0.17760371337393804,0.5559753553418997,0.41038376713259744,0.6230047724602,0.6523941517365016,0.4659045911409283,0.08653349799195975,0.08553544034392363,0.0004394040759073573,0.9140251555801691,0.9430471947122477,1.0936110236428,5.796611070632935
10,1.1249866207892245,0.6593075242929142,0.9402383232791871,0.8872167619691034,0.9726555700268235,0.9099122242954895,0.8263911641375052,0.704145315615474,0.7592246529510909,0.906595135481385,0.5079882710805265,0.3404720359996201,0.43250318480252203,0.6153932979662431,0.6851872907936641,0.5211291965737582,0.5873301510930095,0.8221723070779401,0.7290524643896883,0.5736290790631225,0.7479418280350333,0.7110937046706869,0.687154797600346,0.5348439068129938,0.6317499542204139,0.7638136112990639,0.6407426754212929,0.053199214795933,0.05030551650936631,0.0010024056095371968,0.9486920778810966,0.9657162268248836,1.0181232419880955,6.15767240524292
