,Background,C1,C2,C3,C4
Background,8220888,431610,83267,79150,29878
C1,182110,1827583,16518,34,77
C2,27970,13246,131926,7897,11
C3,12666,0,22404,253262,29719
C4,3069,0,0,23921,137130
