,Background,C1,C2,C3,C4
Background,8223948,318487,84240,82496,31940
C1,221550,1780340,22064,118,46
C2,53864,15981,161876,7047,164
C3,12869,33,17201,258541,25798
C4,6698,419,0,29722,178894
