,Background,C1,C2,C3,C4
Background,8176545,459418,84181,92327,32322
C1,160898,1843609,21632,24,159
C2,26069,11242,133024,10707,8
C3,11105,0,19431,259653,27862
C4,2281,0,0,27246,134593
