,Background,C1,C2,C3,C4
Background,8272618,395135,86294,88044,25283
C1,214220,1811673,17042,312,244
C2,31942,12696,96866,8963,144
C3,16117,261,19926,242726,21480
C4,5575,192,30,28671,137882
