,Background,C1,C2,C3,C4
Background,8130623,450662,130895,69662,30389
C1,149341,1821177,34755,59,195
C2,17138,8592,165238,8397,1
C3,16898,53,25180,228392,27146
C4,10151,138,0,34903,174351
