,Background,C1,C2,C3,C4
Background,8293756,379657,85208,62445,23727
C1,157410,1837705,31165,5,37
C2,26756,8002,141700,4582,10
C3,17394,9,21135,266866,12647
C4,3742,0,1,37381,122996
